HourOfCall,IncidentGroup,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£)
15,Special Service,1,1,1,1,328
9,False Alarm,1,2,2,1,328
2,Special Service,1,1,1,1,328
16,Special Service,1,1,1,1,328
8,Fire,1,1,1,1,328
15,Fire,1,1,1,1,328
1,Special Service,1,1,1,1,328
8,False Alarm,1,1,1,1,328
18,Fire,1,1,1,1,328
13,Special Service,1,2,2,2,656
21,False Alarm,2,2,2,1,328
12,Fire,1,1,1,1,328
17,False Alarm,1,2,2,1,328
9,False Alarm,1,1,1,1,328
11,False Alarm,1,1,1,1,328
10,False Alarm,1,3,3,1,328
19,False Alarm,3,4,4,2,656
14,Special Service,1,1,1,1,328
5,False Alarm,2,2,2,1,328
21,False Alarm,2,2,2,1,328
12,False Alarm,2,3,3,2,656
14,False Alarm,1,2,2,2,656
9,Special Service,1,1,1,1,328
23,Special Service,2,2,2,1,328
20,Special Service,1,1,1,1,328
14,Special Service,1,1,1,1,328
12,Fire,2,3,3,2,656
7,False Alarm,2,3,3,1,328
20,False Alarm,2,2,2,1,328
23,Special Service,1,1,1,1,328
9,Fire,1,2,2,1,328
15,Fire,2,2,2,1,328
11,False Alarm,1,1,1,1,328
16,Fire,2,2,2,2,656
9,Special Service,1,1,1,1,328
11,Fire,1,1,1,1,328
20,False Alarm,1,2,2,1,328
15,Fire,1,1,1,1,328
8,Special Service,1,1,1,1,328
19,Special Service,1,1,1,1,328
3,False Alarm,1,2,2,1,328
14,False Alarm,1,1,1,1,328
13,Special Service,1,1,1,1,328
0,Special Service,1,1,1,1,328
15,False Alarm,1,1,1,1,328
18,Special Service,1,2,2,3,984
14,Fire,2,2,2,2,656
9,False Alarm,1,1,1,1,328
18,Special Service,1,1,1,1,328
2,Fire,1,1,1,1,328
21,Special Service,1,1,1,1,328
16,False Alarm,1,1,1,1,328
15,Fire,1,1,1,1,328
20,Special Service,1,1,1,1,328
17,Fire,2,3,3,1,328
16,Special Service,1,1,1,1,328
5,Fire,1,1,1,1,328
9,False Alarm,2,3,3,1,328
20,Special Service,1,1,1,1,328
0,False Alarm,2,2,2,1,328
15,Special Service,1,1,1,1,328
19,False Alarm,1,1,1,1,328
11,Special Service,1,1,1,1,328
14,False Alarm,3,3,3,1,328
11,False Alarm,1,1,1,1,328
23,Special Service,1,1,1,1,328
21,Special Service,1,1,1,1,328
15,Fire,1,2,2,2,656
20,Special Service,1,1,1,1,328
16,False Alarm,1,2,2,1,328
20,Special Service,1,1,1,1,328
16,Special Service,1,1,1,1,328
13,Fire,1,1,1,1,328
20,Fire,1,1,1,2,656
17,False Alarm,2,4,4,1,328
10,False Alarm,1,1,1,1,328
20,False Alarm,2,2,2,1,328
21,Special Service,1,1,1,1,328
16,Special Service,1,1,1,1,328
10,Fire,1,1,1,1,328
11,Special Service,1,1,1,1,328
14,False Alarm,1,1,1,1,328
13,False Alarm,2,2,2,1,328
15,Fire,2,2,2,1,328
12,Fire,1,1,1,1,328
14,False Alarm,2,2,2,1,328
14,Special Service,1,1,1,1,328
11,Special Service,1,1,1,1,328
18,False Alarm,1,1,1,1,328
9,Special Service,1,1,1,1,328
7,False Alarm,1,1,1,1,328
14,False Alarm,1,1,1,1,328
22,False Alarm,1,2,2,1,328
9,False Alarm,1,1,1,1,328
0,Special Service,1,1,1,1,328
5,False Alarm,1,1,1,1,328
7,False Alarm,1,1,1,1,328
9,False Alarm,1,1,1,1,328
15,Special Service,1,1,1,1,328
13,False Alarm,1,1,1,1,328
14,False Alarm,3,3,3,2,656
15,Special Service,1,1,1,1,328
12,False Alarm,1,1,1,1,328
13,Special Service,1,1,1,1,328
22,False Alarm,2,2,2,1,328
18,Fire,1,1,1,1,328
19,False Alarm,2,2,2,1,328
11,False Alarm,1,1,1,1,328
21,Special Service,1,1,1,1,328
8,False Alarm,1,1,1,1,328
21,False Alarm,1,1,1,1,328
22,False Alarm,2,2,2,1,328
22,Special Service,1,1,1,1,328
22,False Alarm,1,1,1,1,328
10,Fire,2,2,2,1,328
9,Special Service,1,1,1,1,328
14,Special Service,1,1,1,1,328
8,Fire,1,2,2,1,328
20,False Alarm,2,2,2,1,328
17,False Alarm,2,2,2,1,328
8,False Alarm,2,2,2,1,328
1,Fire,1,1,1,1,328
7,Fire,1,1,1,1,328
7,False Alarm,1,1,1,1,328
14,False Alarm,1,1,1,1,328
17,Special Service,1,1,1,1,328
16,Special Service,1,1,1,1,328
22,False Alarm,1,1,1,1,328
21,False Alarm,2,2,2,1,328
15,Special Service,1,1,1,1,328
3,Special Service,1,1,1,1,328
16,Fire,1,1,1,1,328
23,False Alarm,3,4,4,1,328
21,False Alarm,2,2,2,1,328
11,False Alarm,1,1,1,1,328
21,False Alarm,2,2,1,1,328
6,Fire,1,1,1,1,328
3,False Alarm,2,2,2,1,328
10,Special Service,1,1,1,1,328
0,Special Service,1,1,1,1,328
14,False Alarm,2,2,2,1,328
17,Special Service,1,1,1,1,328
15,Special Service,1,1,1,1,328
13,False Alarm,3,3,3,1,328
3,Special Service,NULL,NULL,1,2,656
1,False Alarm,2,2,2,2,656
10,False Alarm,2,2,2,2,656
11,False Alarm,1,1,1,1,328
4,False Alarm,1,1,1,1,328
18,Special Service,1,1,1,1,328
12,Fire,1,1,1,1,328
2,Special Service,1,1,1,1,328
12,Special Service,1,1,1,1,328
22,Fire,1,2,2,1,328
6,Special Service,2,2,2,1,328
11,False Alarm,2,2,2,1,328
2,False Alarm,2,3,3,1,328
11,False Alarm,2,5,5,1,328
13,False Alarm,1,1,1,1,328
20,False Alarm,3,3,3,2,656
15,False Alarm,1,1,1,1,328
6,Fire,3,3,3,2,656
20,Fire,1,1,1,1,328
15,Fire,4,5,5,2,656
6,Special Service,1,1,1,1,328
23,False Alarm,1,1,1,1,328
18,Special Service,1,1,1,1,328
13,Special Service,1,1,1,1,328
12,Special Service,2,2,2,2,656
18,False Alarm,1,2,2,1,328
8,Fire,3,3,3,2,656
21,Fire,1,1,1,1,328
9,False Alarm,1,1,1,1,328
0,Special Service,1,1,1,1,328
15,Fire,2,2,2,2,656
14,False Alarm,3,3,3,1,328
21,Fire,1,1,1,1,328
11,Special Service,2,3,2,1,328
14,False Alarm,1,1,1,1,328
17,Special Service,1,1,1,1,328
16,Special Service,1,1,1,1,328
12,False Alarm,2,3,3,1,328
19,False Alarm,2,2,2,1,328
22,Fire,3,3,3,1,328
22,Special Service,1,1,1,1,328
14,Special Service,1,1,1,1,328
11,Special Service,1,1,1,1,328
17,Fire,3,4,4,2,656
17,Special Service,1,1,1,1,328
13,False Alarm,1,1,1,1,328
14,False Alarm,1,1,1,1,328
21,Special Service,1,1,1,1,328
18,False Alarm,2,2,2,1,328
19,False Alarm,2,2,2,1,328
9,Fire,2,2,2,1,328
12,False Alarm,1,1,1,1,328
16,Special Service,1,1,1,1,328
12,Special Service,1,1,1,1,328
15,Fire,1,1,1,1,328
3,False Alarm,1,1,1,1,328
23,False Alarm,1,1,1,1,328
17,False Alarm,1,1,1,1,328
20,False Alarm,2,3,3,1,328
23,False Alarm,2,2,2,1,328
20,Fire,1,2,2,1,328
19,False Alarm,1,1,1,1,328
13,False Alarm,1,1,1,1,328
13,False Alarm,2,2,2,1,328
22,Special Service,1,1,1,1,328
20,False Alarm,1,2,2,1,328
15,Fire,1,1,1,1,328
15,Special Service,1,1,1,1,328
2,False Alarm,2,3,3,2,656
19,False Alarm,1,2,2,1,328
12,Special Service,1,1,1,1,328
16,Special Service,1,1,1,1,328
11,Fire,1,2,2,1,328
9,Special Service,1,1,1,1,328
10,Special Service,1,1,1,1,328
22,Fire,3,3,3,2,656
11,False Alarm,2,2,2,1,328
21,False Alarm,2,2,2,1,328
8,False Alarm,2,2,2,1,328
1,False Alarm,2,2,2,1,328
7,Special Service,1,1,1,1,328
7,False Alarm,1,1,1,1,328
18,Special Service,1,1,1,1,328
20,Special Service,1,1,1,1,328
20,False Alarm,3,5,5,2,656
13,False Alarm,2,2,2,1,328
5,False Alarm,1,1,1,1,328
13,False Alarm,1,1,1,1,328
11,False Alarm,1,1,1,1,328
23,Fire,2,2,2,1,328
14,False Alarm,2,2,2,1,328
12,False Alarm,2,2,2,1,328
20,False Alarm,3,3,3,1,328
1,Special Service,1,1,1,1,328
17,False Alarm,1,2,2,1,328
18,False Alarm,2,2,2,1,328
22,False Alarm,1,1,1,1,328
16,False Alarm,1,1,1,2,656
20,Fire,1,1,1,1,328
16,Special Service,2,2,2,2,656
9,False Alarm,1,1,1,1,328
22,False Alarm,1,1,1,1,328
17,Special Service,1,1,1,1,328
0,False Alarm,2,2,2,1,328
14,Special Service,1,1,1,1,328
5,False Alarm,2,2,2,1,328
20,False Alarm,1,2,2,1,328
13,Special Service,1,1,1,1,328
4,False Alarm,1,1,1,1,328
17,Special Service,1,1,1,1,328
16,Fire,2,2,2,1,328
19,False Alarm,1,1,1,1,328
7,Special Service,1,1,1,1,328
11,False Alarm,1,1,1,1,328
19,Special Service,1,1,1,1,328
14,False Alarm,1,1,1,1,328
17,Special Service,1,1,1,1,328
2,Fire,2,2,2,1,328
21,False Alarm,1,1,1,1,328
22,Fire,1,1,1,1,328
18,Fire,1,1,1,1,328
14,Special Service,1,1,1,1,328
13,False Alarm,1,1,1,1,328
13,Special Service,1,1,1,1,328
17,Special Service,1,1,1,1,328
20,False Alarm,1,1,1,1,328
13,False Alarm,2,2,2,1,328
18,Special Service,1,1,1,1,328
13,False Alarm,2,2,2,1,328
14,False Alarm,3,4,4,2,656
15,False Alarm,1,1,1,1,328
18,False Alarm,2,2,2,1,328
17,Fire,1,1,1,1,328
4,False Alarm,2,2,2,1,328
17,False Alarm,1,1,1,1,328
14,Fire,1,1,1,1,328
18,Special Service,1,1,1,1,328
10,False Alarm,1,1,1,1,328
23,False Alarm,2,2,2,1,328
17,Special Service,1,1,1,1,328
15,Fire,1,2,2,2,656
1,Special Service,1,1,1,2,656
17,False Alarm,1,1,1,1,328
18,Special Service,1,1,1,1,328
7,False Alarm,1,1,1,1,328
9,False Alarm,1,1,1,1,328
16,False Alarm,1,1,1,1,328
12,False Alarm,1,1,1,1,328
5,False Alarm,1,1,1,1,328
18,False Alarm,2,2,2,1,328
17,False Alarm,3,3,3,1,328
21,Fire,1,1,1,1,328
20,Fire,1,1,1,1,328
21,False Alarm,2,2,2,1,328
11,False Alarm,2,2,2,1,328
7,False Alarm,1,1,1,1,328
10,False Alarm,1,1,1,1,328
18,Fire,2,2,2,2,656
16,False Alarm,2,2,2,1,328
19,False Alarm,1,1,1,1,328
5,Special Service,1,1,1,1,328
10,False Alarm,1,1,1,1,328
22,False Alarm,1,1,1,1,328
9,Special Service,1,1,1,1,328
11,False Alarm,1,1,1,1,328
2,False Alarm,1,1,1,1,328
13,Fire,1,2,2,1,328
0,Special Service,1,1,1,1,328
14,False Alarm,1,2,2,1,328
21,Fire,1,1,1,1,328
23,Special Service,1,1,1,1,328
10,False Alarm,2,2,2,1,328
8,False Alarm,1,1,1,1,328
12,False Alarm,1,1,1,1,328
23,False Alarm,1,1,1,2,656
15,Special Service,1,1,1,1,328
2,Special Service,1,1,1,1,328
7,False Alarm,1,1,1,1,328
14,Special Service,1,1,1,1,328
2,False Alarm,2,2,2,1,328
15,Fire,2,2,2,2,656
17,Special Service,1,1,1,1,328
9,Special Service,1,1,1,1,328
22,False Alarm,1,1,1,1,328
18,False Alarm,1,1,1,1,328
19,Special Service,1,1,1,1,328
12,Fire,1,1,1,1,328
22,Special Service,1,1,1,1,328
7,Special Service,2,2,2,1,328
11,Special Service,1,1,1,1,328
16,Special Service,1,1,1,1,328
8,Special Service,1,2,2,1,328
23,Special Service,1,1,1,1,328
22,False Alarm,3,3,3,1,328
10,False Alarm,2,2,2,1,328
18,False Alarm,1,2,2,1,328
19,Special Service,1,1,1,1,328
18,Special Service,1,1,1,2,656
16,False Alarm,2,2,2,1,328
15,False Alarm,1,1,1,1,328
16,False Alarm,2,2,2,1,328
19,False Alarm,3,3,3,3,984
6,False Alarm,1,1,1,1,328
18,Special Service,1,1,1,1,328
15,Special Service,1,1,1,1,328
11,Special Service,1,1,1,1,328
19,False Alarm,1,1,1,1,328
23,Fire,2,2,2,1,328
0,False Alarm,2,2,2,1,328
9,Special Service,1,1,1,2,656
1,False Alarm,1,1,1,2,656
23,Fire,1,1,1,1,328
5,False Alarm,1,2,2,2,656
16,False Alarm,2,2,2,1,328
16,False Alarm,3,3,3,1,328
15,False Alarm,2,2,2,1,328
2,Special Service,1,2,2,2,656
9,Fire,1,2,2,2,656
19,False Alarm,1,2,2,1,328
8,False Alarm,3,5,5,2,656
23,False Alarm,1,1,1,1,328
7,Special Service,1,1,1,1,328
12,False Alarm,1,1,1,1,328
13,Special Service,1,1,1,1,328
12,False Alarm,2,2,2,1,328
5,Special Service,2,3,3,2,656
2,False Alarm,1,1,1,1,328
13,False Alarm,1,1,1,1,328
11,False Alarm,2,3,3,1,328
11,False Alarm,2,3,3,1,328
20,False Alarm,2,2,2,1,328
17,False Alarm,2,3,3,1,328
1,False Alarm,1,2,2,1,328
15,False Alarm,1,1,1,1,328
19,False Alarm,2,3,3,2,656
7,False Alarm,1,1,1,1,328
8,False Alarm,1,2,2,1,328
9,False Alarm,2,2,2,1,328
15,False Alarm,2,2,2,1,328
11,Fire,1,1,1,1,328
1,Special Service,1,1,1,2,656
14,False Alarm,2,2,2,1,328
13,Special Service,1,1,1,1,328
14,False Alarm,2,3,3,1,328
9,False Alarm,1,1,1,1,328
10,False Alarm,3,3,3,1,328
3,Special Service,1,1,1,1,328
21,False Alarm,1,1,1,1,328
17,Fire,1,2,2,3,984
16,Special Service,1,1,1,1,328
12,Special Service,1,1,1,1,328
14,False Alarm,1,1,1,1,328
12,Fire,2,3,3,3,984
10,False Alarm,1,1,1,1,328
13,Special Service,1,1,1,1,328
0,False Alarm,1,1,1,1,328
17,False Alarm,2,2,2,1,328
10,False Alarm,1,1,1,1,328
20,False Alarm,2,2,2,1,328
13,Special Service,1,1,1,1,328
11,Special Service,2,2,2,1,328
17,False Alarm,1,1,1,1,328
13,False Alarm,1,2,2,1,328
9,False Alarm,1,1,1,1,328
14,False Alarm,2,2,2,1,328
21,Special Service,2,2,2,1,328
7,Special Service,1,1,1,1,328
20,Special Service,1,1,1,1,328
20,Fire,2,2,2,2,656
16,False Alarm,1,1,1,1,328
7,False Alarm,1,1,1,1,328
9,False Alarm,1,2,2,1,328
2,False Alarm,1,1,1,1,328
21,Special Service,1,1,1,1,328
20,Special Service,1,1,1,1,328
9,False Alarm,2,2,2,1,328
11,False Alarm,4,4,4,1,328
13,Special Service,1,1,1,1,328
23,Special Service,1,1,1,1,328
4,False Alarm,1,1,1,1,328
17,Special Service,1,1,1,2,656
8,False Alarm,1,1,1,1,328
20,Special Service,1,1,2,2,656
10,Special Service,1,1,1,1,328
6,False Alarm,1,1,1,1,328
18,Special Service,1,1,1,1,328
14,False Alarm,2,2,2,1,328
9,Special Service,1,1,1,1,328
8,Special Service,1,1,1,1,328
6,Fire,2,2,2,1,328
13,False Alarm,1,2,2,1,328
19,Special Service,1,1,1,1,328
18,False Alarm,1,2,2,1,328
8,False Alarm,2,2,2,1,328
1,False Alarm,3,5,5,2,656
12,Special Service,1,1,1,1,328
22,Special Service,1,1,1,1,328
19,False Alarm,2,3,3,2,656
16,False Alarm,2,2,2,1,328
11,Fire,1,1,1,1,328
14,Special Service,1,1,1,1,328
16,False Alarm,2,3,3,1,328
11,False Alarm,2,2,2,1,328
7,False Alarm,1,1,1,1,328
15,Special Service,2,2,2,1,328
14,False Alarm,1,2,2,1,328
16,False Alarm,1,1,1,1,328
17,Fire,2,2,2,1,328
19,Special Service,1,1,1,1,328
17,Fire,1,2,2,1,328
10,Special Service,1,1,1,2,666
20,Fire,1,1,1,1,333
17,Special Service,1,1,1,1,333
18,False Alarm,1,1,1,1,333
7,Special Service,2,2,2,2,666
16,Special Service,1,1,1,2,666
9,Special Service,1,1,1,1,333
14,Fire,2,2,2,2,666
18,Fire,2,2,2,1,333
21,Fire,1,2,2,1,333
22,Special Service,1,1,1,1,333
5,Fire,1,1,1,1,333
21,Special Service,1,1,1,1,333
2,Fire,1,1,1,1,333
7,False Alarm,1,2,2,1,333
20,False Alarm,2,2,2,1,333
16,Fire,1,2,2,1,333
6,False Alarm,1,1,1,1,333
5,False Alarm,2,2,2,1,333
9,False Alarm,1,1,1,1,333
11,Special Service,1,1,1,1,333
10,False Alarm,2,2,2,1,333
22,Special Service,1,1,1,1,333
18,False Alarm,1,1,1,1,333
10,False Alarm,3,5,5,2,666
18,Special Service,1,1,1,1,333
19,Fire,1,1,1,1,333
9,False Alarm,1,2,2,1,333
16,Special Service,1,1,1,1,333
11,False Alarm,1,1,1,1,333
15,Special Service,1,1,1,1,333
16,False Alarm,1,2,2,1,333
1,False Alarm,1,1,1,1,333
8,False Alarm,2,2,2,1,333
17,Fire,1,1,1,1,333
14,False Alarm,1,1,1,1,333
22,False Alarm,1,2,2,1,333
19,False Alarm,1,1,1,1,333
7,False Alarm,1,2,2,1,333
4,Special Service,1,1,1,1,333
11,Special Service,2,2,2,1,333
15,Special Service,2,2,2,1,333
17,Special Service,1,2,2,1,333
9,Fire,2,2,2,2,666
19,False Alarm,1,1,1,1,333
20,False Alarm,1,1,1,1,333
12,Special Service,1,1,1,1,333
7,Fire,1,2,2,1,333
23,False Alarm,1,1,1,1,333
18,Special Service,1,1,1,1,333
4,False Alarm,1,1,1,1,333
16,Special Service,1,1,1,1,333
10,Fire,1,1,1,1,333
13,False Alarm,1,1,1,1,333
17,Special Service,1,1,1,1,333
9,Fire,1,2,2,1,333
18,Special Service,1,1,1,1,333
21,False Alarm,1,1,1,1,333
21,False Alarm,1,2,2,1,333
23,Special Service,1,1,1,1,333
5,False Alarm,1,2,2,1,333
7,False Alarm,1,1,1,1,333
13,Special Service,1,1,1,1,333
21,False Alarm,2,2,2,1,333
22,False Alarm,1,1,1,1,333
23,Fire,1,1,1,1,333
13,False Alarm,2,2,2,1,333
13,Fire,1,1,1,1,333
22,False Alarm,1,1,1,1,333
20,Fire,1,1,1,1,333
2,False Alarm,1,1,1,1,333
20,Fire,1,1,1,1,333
13,False Alarm,2,2,2,1,333
5,False Alarm,1,1,1,1,333
23,False Alarm,2,2,2,1,333
20,False Alarm,1,2,2,1,333
8,False Alarm,1,1,1,1,333
13,False Alarm,2,3,3,1,333
3,False Alarm,2,3,3,1,333
15,False Alarm,2,2,2,1,333
13,Special Service,1,1,1,1,333
12,False Alarm,1,2,2,1,333
21,False Alarm,2,3,3,1,333
9,False Alarm,4,5,5,2,666
14,False Alarm,1,2,2,1,333
17,Special Service,1,1,1,1,333
13,Special Service,1,1,1,1,333
17,False Alarm,1,1,1,1,333
19,False Alarm,1,2,2,1,333
17,Special Service,1,1,1,1,333
16,Special Service,1,1,1,1,333
10,Special Service,1,1,1,1,333
15,False Alarm,1,1,1,1,333
20,False Alarm,1,1,1,1,333
14,False Alarm,2,2,2,1,333
4,Special Service,2,2,2,1,333
2,False Alarm,2,2,1,1,333
18,Fire,1,1,1,1,333
21,False Alarm,1,1,1,1,333
18,False Alarm,1,1,1,1,333
13,False Alarm,1,1,1,1,333
22,Special Service,1,1,1,1,333
20,False Alarm,4,5,5,1,333
22,False Alarm,1,1,1,1,333
13,Special Service,1,1,1,1,333
21,Fire,2,3,3,2,666
7,Fire,1,1,1,1,333
17,Special Service,1,1,1,1,333
17,Special Service,1,1,1,1,333
1,False Alarm,1,1,1,1,333
12,False Alarm,1,1,1,1,333
6,False Alarm,1,1,1,1,333
15,Fire,1,1,1,1,333
14,Special Service,1,1,1,1,333
19,False Alarm,2,3,3,1,333
9,Special Service,1,1,1,1,333
3,False Alarm,1,1,1,1,333
18,False Alarm,2,2,2,1,333
21,Fire,1,1,1,1,333
23,Fire,1,1,1,1,333
1,False Alarm,1,2,2,1,333
10,Fire,1,1,1,1,333
0,Special Service,1,1,1,1,333
22,False Alarm,1,2,2,1,333
15,Fire,1,1,1,1,333
23,Special Service,2,2,2,1,333
16,Special Service,1,1,1,1,333
22,Fire,1,2,2,1,333
23,Fire,1,1,1,1,333
18,Special Service,1,1,1,1,333
18,Special Service,1,2,2,1,333
18,False Alarm,2,2,2,1,333
12,Special Service,5,5,5,2,666
10,Special Service,1,1,1,1,333
19,False Alarm,3,3,3,1,333
19,False Alarm,1,2,2,1,333
20,Special Service,1,1,1,1,333
15,False Alarm,1,1,1,1,333
10,Fire,2,2,2,3,999
0,Fire,1,1,1,1,333
16,False Alarm,2,2,2,1,333
23,False Alarm,2,2,2,1,333
18,False Alarm,1,2,2,1,333
5,Special Service,2,2,2,1,333
21,Fire,1,1,1,2,666
7,Special Service,2,2,2,2,666
5,Fire,1,1,1,1,333
0,False Alarm,1,1,1,1,333
15,False Alarm,1,2,2,1,333
19,False Alarm,2,2,2,1,333
19,Special Service,1,1,1,1,333
19,False Alarm,4,5,5,2,666
17,Fire,2,2,2,1,333
11,Special Service,1,1,1,1,333
17,Special Service,1,1,1,1,333
19,Fire,1,1,1,1,333
17,False Alarm,1,2,2,2,666
9,False Alarm,2,3,3,1,333
0,False Alarm,1,2,2,1,333
17,False Alarm,2,2,2,1,333
15,False Alarm,1,1,1,1,333
18,False Alarm,2,3,3,1,333
13,False Alarm,1,2,2,1,333
15,Fire,1,1,1,1,333
16,False Alarm,1,1,1,1,333
20,Special Service,1,1,1,1,333
0,False Alarm,1,1,1,1,333
16,Special Service,1,1,1,2,666
4,False Alarm,2,2,2,1,333
14,Special Service,1,1,1,1,333
17,Fire,1,1,1,1,333
11,False Alarm,1,1,1,1,333
8,False Alarm,1,1,1,1,333
4,Fire,1,1,1,1,333
2,Fire,1,1,1,1,333
10,Special Service,1,1,1,2,666
9,Special Service,1,1,1,1,333
14,Special Service,1,2,2,3,999
1,False Alarm,2,2,2,2,666
18,Special Service,1,1,1,1,333
20,Fire,1,2,2,1,333
18,Special Service,1,1,1,1,333
15,False Alarm,1,2,2,1,333
11,False Alarm,1,1,1,1,333
11,False Alarm,1,1,1,1,333
13,False Alarm,2,2,2,1,333
10,False Alarm,1,2,2,1,333
10,Special Service,2,2,2,1,333
6,False Alarm,1,1,1,1,333
21,False Alarm,1,1,1,1,333
9,False Alarm,2,2,2,1,333
16,Fire,1,1,1,1,333
10,False Alarm,2,2,2,1,333
19,False Alarm,3,5,5,2,666
23,Special Service,1,1,1,1,333
14,False Alarm,2,2,2,1,333
11,False Alarm,2,2,2,1,333
17,Fire,1,2,2,1,333
14,Special Service,1,1,1,1,333
13,Special Service,1,1,1,1,333
17,Special Service,1,1,1,1,333
21,Special Service,1,1,1,1,333
11,False Alarm,1,1,1,1,333
21,Special Service,1,1,1,1,333
14,False Alarm,4,4,4,3,999
14,False Alarm,1,2,2,1,333
6,False Alarm,2,2,2,1,333
11,Special Service,1,1,1,2,666
1,Special Service,1,1,1,1,333
21,Special Service,1,1,1,1,333
13,Special Service,1,1,1,1,333
4,False Alarm,2,2,2,1,333
13,False Alarm,2,2,2,1,333
21,Special Service,2,2,2,2,666
12,False Alarm,1,1,1,1,333
19,Fire,1,1,1,1,333
23,Special Service,1,1,1,1,333
15,False Alarm,1,1,1,1,333
11,False Alarm,2,2,2,1,333
6,False Alarm,1,1,1,1,333
4,Fire,1,1,1,1,333
15,False Alarm,1,1,1,1,333
4,Special Service,1,1,1,1,333
19,False Alarm,2,2,2,1,333
17,Special Service,1,1,1,1,333
16,Special Service,1,1,1,1,333
19,Special Service,1,1,1,1,333
14,False Alarm,2,2,2,1,333
20,Special Service,1,1,1,1,333
15,Special Service,1,1,1,1,333
8,False Alarm,1,1,1,1,333
13,False Alarm,2,2,2,1,333
12,False Alarm,1,1,1,1,333
8,False Alarm,1,1,1,1,333
3,Special Service,2,2,2,1,333
19,Fire,1,2,2,2,666
10,False Alarm,1,1,1,1,333
18,False Alarm,1,1,1,1,333
14,Special Service,1,1,1,1,333
11,Special Service,1,1,1,1,333
11,Special Service,1,1,1,1,333
11,Fire,1,1,1,1,333
